Time,Ybfront,Rbfront
0.0,0.0,0.0
0.66,0.0,0.0
1.32,0.0,0.0
1.98,0.0,0.0
2.64,0.0,0.0
3.3,0.0,0.0
3.96,0.0,0.0
4.62,0.0,0.0
5.28,0.0,0.0
5.94,0.0,0.0
6.6,0.0,0.0
7.26,0.0,0.0
7.92,3029.176,0.0
8.58,3162.034,0.0
9.24,3241.75,0.0
9.9,3321.465,0.0
10.56,3401.18,0.0
11.22,3534.038,770.58
11.88,3640.325,3029.176
12.54,3826.327,3188.606
13.2,3959.186,3348.036
13.86,4065.473,3693.469
14.52,4198.331,3906.042
15.18,4331.19,4065.473
15.84,4437.477,4224.903
16.5,4543.764,4384.333
17.16,4676.622,4517.192
17.82,4809.481,4703.194
18.48,4915.768,4836.053
19.14,5022.055,4942.339
19.8,5128.341,5048.626
20.46,5208.057,5154.913
21.12,5287.771,5208.057
21.78,5340.915,5314.343
22.44,5420.63,5367.487
23.1,5500.345,5447.202
23.76,5553.489,5526.917
24.42,5606.632,5606.632
25.08,5686.348,5686.348
25.74,5766.062,5766.062
26.4,5845.778,5845.778
27.06,5925.493,5952.064
27.72,6005.208,6005.208
28.38,6084.923,6111.495
29.04,6164.638,6191.21
29.7,6217.782,6270.925
30.36,6324.069,6350.64
31.02,6377.212,6403.784
31.68,6430.355,6483.499
32.34,6510.071,6563.214
33.0,6589.786,6642.929
33.66,6642.929,6722.645
34.32,6722.645,6775.788
34.98,6775.788,6828.931
35.64,6855.503,6908.646
36.3,6908.646,6961.79
36.96,6988.362,7041.505
37.62,7041.505,7121.22
38.28,7121.22,7174.364
38.94,7200.936,7227.507
39.6,7280.65,7307.222
40.26,7333.794,7386.938
40.92,7413.509,7440.081
41.58,7493.224,7519.796
42.24,7546.368,7572.939
42.9,7599.511,7652.654
43.56,7679.226,7705.798
44.22,7758.941,7785.513
44.88,7838.657,7838.657
45.54,7891.8,7891.8
46.2,7944.943,7971.515
46.86,8024.659,8024.659
47.52,8104.374,8077.802
48.18,8184.089,8130.945
48.84,8210.66,8184.089
49.5,8237.232,8237.232
50.16,8316.947,8316.947
50.82,8396.662,8370.091
51.48,8423.234,8423.234
52.14,8476.378,8476.378
52.8,8529.521,8502.949
53.46,8556.093,8556.093
54.12,8609.236,8609.236
54.78,8662.38,8662.38
55.44,8688.951,8715.523
56.1,8742.095,8742.095
56.76,8742.095,8742.095
57.42,8795.238,8795.238
58.08,8848.382,8874.953
58.74,8874.953,8901.525
59.4,8928.097,8954.669
60.06,8981.24,9007.812
60.72,8981.24,9007.812
61.38,9034.384,9060.955
62.04,9060.955,9087.527
62.7,9114.099,9140.671
63.36,9140.671,9140.671
64.02,9167.242,9193.814
64.68,9193.814,9193.814
65.34,9220.386,9220.386
66.0,9273.529,9273.529
66.66,9326.673,9300.101
67.32,9326.673,9326.673
67.98,9353.244,9326.673
68.64,9406.388,9353.244
69.3,9432.96,9406.388
69.96,9459.531,9432.96
70.62,9486.103,9432.96
71.28,9512.675,9459.531
71.94,9512.675,9459.531
72.6,9592.39,9512.675
73.26,9618.962,9539.246
73.92,9645.533,9539.246
74.58,9645.533,9565.818
75.24,9698.677,9618.962
75.9,9698.677,9618.962
76.56,9725.248,9672.105
77.22,9778.392,9672.105
77.88,9778.392,9672.105
78.54,9831.535,9725.248
79.2,9858.107,9751.82
79.86,9884.679,9778.392
80.52,9911.25,9831.535
81.18,9964.394,9858.107
81.84,9964.394,9858.107
82.5,9990.966,9884.679
83.16,10017.537,9911.25
83.82,10070.681,9964.394
84.48,10097.253,9990.966
85.14,10070.681,9964.394
85.8,10150.396,10044.109
86.46,10150.396,10070.681
87.12,10203.539,10097.253
87.78,10230.111,10097.253
88.44,10230.111,10150.396
89.1,10283.255,10150.396
89.76,10283.255,10176.968
90.42,10309.826,10176.968
91.08,10336.397,10230.111
91.74,10336.397,10230.111
92.4,10362.97,10256.683
